Sentence,GroundTruth,Prediction
بعد إزنك، من وين بروحو عأكاساكا؟,LEV,UNK
يبن عمي، ليش تأخرت؟ قدنا واقف هنا ساعة كأني حارس بوابة,YEM,UNK
مشكور ما قصرت. انا وسيد كوقوري مستانسين ان جينا لندن عشان نجتمع معاك وانت واحد من أهم شركائنا.,GULF,UNK
أعتقد إنت المفروض تقدر تجيب كل الحاجات من السوبر ماركت. لو ماقدرتش، متقلقش. أنا هاروح الصيدلية بكرة.,NILE,UNK
موتري خرب، لو سمحت تعال سير خده.,GULF,UNK
شلونكم اليوم؟ الجو اليوم وايد غبار، لازم الواحد يلبس كمامة.,GULF,UNK
نعم، سيد تانكا. اكو رسالتين الك.,IRAQ,UNK
ماكو أكل اليوم؟,IRAQ,UNK
بغيتي تبدل هاد العدسات بشي وحدين قصاح؟,,UNK
عليك أن تحجز مقدما .,MSA,UNK
أيمكنني أن أبقى ثلاث ليالٍ ؟,MSA,UNK
هل اكو مطعم قريب هوني؟,IRAQ,UNK
كيف حالك يا رجال؟ إن شاء الله أمورك طيبة وما فيك أي بلى,YEM,UNK
كلا . إني ياباني .,MSA,UNK
وين ممكن ألكى محل يبيع أثاث مستعمل نظيف؟,IRAQ,UNK
فين غاديين اليوم العشية؟,,UNK
لك شو عم تساوي؟,LEV,UNK
أبا جاي مع ليمون لو ما عليك أمر.,GULF,UNK
حابب أعمل إتصال لبرات البلد عاليابان .,LEV,UNK
ما بينفع الكلام ده ياخي,NILE,UNK
اصعد السلم ثم اتجه يميناً . إنه على يسارك .,MSA,UNK
وش تبي مني ؟,GULF,UNK
شي بيبسي زيرو لأني مسوي دايت ؟,GULF,UNK
كيف بدك البيض؟,LEV,UNK
بسرعة قبل ما السوق يسدّ,YEM,UNK
يا صاحبي ليش تأخرت؟ قد لي ساعتين وأنا جالس أنقز هنا أستنى، لو دريت كان نمت لي شوية,YEM,UNK
أبا عطر لو سمحت.,GULF,UNK
هل يمكن أن أترك هذه العربة خارج الردهة ؟,MSA,UNK
أنا داير أسافر.,NILE,UNK
 البيت الجديد وايد كبير وواسع.,GULF,UNK
واش هاد القطار كايتوقف فبالتيمور؟,,UNK
حدا بيعرف إيمتى رح يخلص هالمشروع؟ تأخر كتير وبلشنا نقلق.,LEV,UNK
شكو ماكو؟,IRAQ,UNK
ما يمكنش الواحد ينسى عائلتو و صحابو، خاصنا نتواصلو معاهم ديما ونزوروهم,,UNK
ما كان يجب أن يكون كثيراً هكذا .,MSA,UNK
الملابس الطويلة هي الموضة الآن .,MSA,UNK
عايز أمشي الدكان .,NILE,UNK
وين رايح بهذا الوقت؟ الدنيا ليل والدرب موحش، خليك شوية نفرتح لنا كاسة شاهي,YEM,UNK
وين با نروح اليوم العصر؟ الجو حلو برا وبا نتمشى شوية أو نجلس في مكان حلو.,YEM,UNK
أقول لا تسولف وياي,GULF,UNK
 أنا أريد أنزل للسوك اليوم أشتري بعض الأغراض للبيت، محتاجين هواي شغلات.,IRAQ,UNK
من فضلك غادر الفندق قبل التاسعة .,MSA,UNK
يا ولدي، علاش ما جاوبتيش على التيليفون؟,,UNK
دير بالك، السقف قصير.,LEV,UNK
يا الدراري، فين ممكن نلقى شي حانوت كيبيع الماعن المستعمل نقي؟,,UNK
بمجرد النظر إليها تبدو وكأنك قد التقطت بعض العدوى منها .,MSA,UNK
عايز الهدوم دي تتكوى.,NILE,UNK
لا أريد شيئاً آخر .,MSA,UNK
ازيك عامل ايه النهارده؟,NILE,UNK
اني حتى مشي ما جنت امشي,IRAQ,UNK
أبا مجبوس دياي عل الفطور,GULF,UNK
أنظر إلى جمالها الفاتن.,MSA,UNK
أنا بدي أتعلم أطبخ أكلات جديدة.,LEV,UNK
تعال نشرب لنا كاسة شاهي بالحليب ونسمر شوية.,YEM,UNK
طوالي عليك الله .,NILE,UNK
لقد كانت المزارات في اليونان تاريخية .,MSA,UNK
ناس قليلين اللي هايكونوا في الجولة الاختيارية.,NILE,UNK
أنا كنت عم فكر أروح رحلة قصيرة آخر الأسبوع الجاي، بس لهلا ما قررت لوين بالزبط، يمكن نروح دبي أو الشارقة.,LEV,UNK
أنا اشتقت كتير لأهلي وقرايبي اللي ببلدي، بدي أزورهم قريب وأقضي معهم وقت طويل.,LEV,UNK
ما هو الأفضل ؟,MSA,UNK
باش نسافر من اما مطار؟,,UNK
عمبتسأل سعر شو هيدا على فاتورتي .,LEV,UNK
ممكن تساعديني في ترتيب الأغراض في الدولاب؟ أنا ما عندي وقت اليوم وبا أريد أخلص الشغل بسرعة.,YEM,UNK
ازاي أرجع؟,NILE,UNK
هاي الغرفة كولش صغيره.,IRAQ,UNK
على الساحل الشرقي، حتلاقي كمان أماكن مشهورة، زي نيويورك، وواشنطن دي سي وبوسطن.,NILE,UNK
كيف حالك اليوم؟ إن شاء الله أنك دحّان وما فيك شي.,YEM,UNK
اكو اي ليموزين؟,IRAQ,UNK
أنا باغي نمشي المول.,,UNK
ممكن ناخد  لينا أوضة على البحر؟,NILE,UNK
راني حاب حقيبة ماكياج.,,UNK
ماعنديش موعد، بلحاق الحالة مستعجلة.,,UNK
عمي، با أفكر أتزوج بنتكم.,YEM,UNK
تروم تساعد رفيقج؟,GULF,UNK
ممكن تحولي اياهم لدولارات، لو سمحت؟,LEV,UNK
اشتي العب تنس.,YEM,UNK
داير أرسله بالبريد البري.,NILE,UNK
في واحد خبط فيا. وبعديها ملقتش محفظتي.,NILE,UNK
البرفان دة بكام؟,NILE,UNK
رح أوصل حوالي الساعة تسعة المسا.,LEV,UNK
هل اكو اي جوله صباحيي؟,IRAQ,UNK
بس عشان هديه تذكارية . انت عارف، ماعندناش النوع ده من التاكسيات في اليابان .,NILE,UNK
أنا عيان شوية اليوم، حسيت ما نعستش مزيان البارح.,,UNK
يصير ادفع بجيكات سياحية؟,GULF,UNK
بأثر شي اذا دقيتلك بعدين؟,LEV,UNK
ممكن تساعديني في ترتيب الأغراض في الدولاب؟ أنا ما عندي وقت اليوم وبا أريد أخلص الشغل بسرعة.,YEM,UNK
أنا كنبغي نسمع موسيقى هادية قبل ما نعس باش نرتاح.,,UNK
اطيق احجز اجر-سيارة هوني؟,IRAQ,UNK
عندكم شي ناكله؟ زين باخرج أفحط لي حاجة من الدكان.,YEM,UNK
مو معقول لهلأ طلبي ما وصل .,LEV,UNK
 وين با نروح اليوم؟,YEM,UNK
اي بعض الغرف تطل على الحديقة بس وايد غالية.,GULF,UNK
كم من الوقت يبغاله من هنا لين سيتي هول ؟,GULF,UNK
عادي تجوف موتري؟,GULF,UNK
هل يمكنك أن تقوم بضبطها الآن ؟,MSA,UNK
