GroundTruth,Prediction
NA,NA
IRAQ,GULF
YEM,GULF
IRAQ,GULF
IRAQ,IRAQ
NA,NA
GULF,MSA
MSA,MSA
IRAQ,GULF
GULF,GULF
MSA,MSA
MSA,MSA
IRAQ,GULF
MSA,MSA
LEV,GULF
GULF,GULF
LEV,LEV
NA,GULF
IRAQ,GULF
YEM,LEV
YEM,GULF
NILE,GULF
LEV,GULF
NILE,NILE
YEM,LEV
LEV,LEV
MSA,MSA
LEV,GULF
MSA,MSA
NA,NA
GULF,GULF
MSA,MSA
GULF,GULF
IRAQ,GULF
IRAQ,GULF
NILE,GULF
NA,GULF
LEV,LEV
YEM,YEM
YEM,GULF
NILE,GULF
NILE,GULF
IRAQ,GULF
NA,GULF
NILE,GULF
YEM,GULF
LEV,GULF
NILE,MSA
NILE,NILE
GULF,GULF
MSA,MSA
YEM,LEV
GULF,LEV
LEV,GULF
NA,NA
GULF,GULF
YEM,GULF
NILE,GULF
LEV,GULF
NA,LEV
NA,GULF
NILE,GULF
NA,GULF
MSA,MSA
LEV,GULF
YEM,GULF
GULF,LEV
GULF,GULF
IRAQ,GULF
MSA,MSA
