Sentence,GroundTruth,Prediction
بعد إزنك، من وين بروحو عأكاساكا؟,LEV,LEV
يبن عمي، ليش تأخرت؟ قدنا واقف هنا ساعة كأني حارس بوابة,YEM,LEV
مشكور ما قصرت. انا وسيد كوقوري مستانسين ان جينا لندن عشان نجتمع معاك وانت واحد من أهم شركائنا.,GULF,LEV
أعتقد إنت المفروض تقدر تجيب كل الحاجات من السوبر ماركت. لو ماقدرتش، متقلقش. أنا هاروح الصيدلية بكرة.,NILE,LEV
موتري خرب، لو سمحت تعال سير خده.,GULF,LEV
شلونكم اليوم؟ الجو اليوم وايد غبار، لازم الواحد يلبس كمامة.,GULF,LEV
نعم، سيد تانكا. اكو رسالتين الك.,IRAQ,LEV
ماكو أكل اليوم؟,IRAQ,LEV
بغيتي تبدل هاد العدسات بشي وحدين قصاح؟,,LEV
عليك أن تحجز مقدما .,MSA,MSA
أيمكنني أن أبقى ثلاث ليالٍ ؟,MSA,MSA
هل اكو مطعم قريب هوني؟,IRAQ,LEV
كيف حالك يا رجال؟ إن شاء الله أمورك طيبة وما فيك أي بلى,YEM,LEV
كلا . إني ياباني .,MSA,LEV
وين ممكن ألكى محل يبيع أثاث مستعمل نظيف؟,IRAQ,NA
فين غاديين اليوم العشية؟,,NA
لك شو عم تساوي؟,LEV,LEV
أبا جاي مع ليمون لو ما عليك أمر.,GULF,MSA
حابب أعمل إتصال لبرات البلد عاليابان .,LEV,MSA
ما بينفع الكلام ده ياخي,NILE,LEV
اصعد السلم ثم اتجه يميناً . إنه على يسارك .,MSA,MSA
وش تبي مني ؟,GULF,LEV
شي بيبسي زيرو لأني مسوي دايت ؟,GULF,NA
كيف بدك البيض؟,LEV,MSA
بسرعة قبل ما السوق يسدّ,YEM,MSA
يا صاحبي ليش تأخرت؟ قد لي ساعتين وأنا جالس أنقز هنا أستنى، لو دريت كان نمت لي شوية,YEM,YEM
أبا عطر لو سمحت.,GULF,MSA
هل يمكن أن أترك هذه العربة خارج الردهة ؟,MSA,MSA
أنا داير أسافر.,NILE,MSA
 البيت الجديد وايد كبير وواسع.,GULF,GULF
واش هاد القطار كايتوقف فبالتيمور؟,,NA
حدا بيعرف إيمتى رح يخلص هالمشروع؟ تأخر كتير وبلشنا نقلق.,LEV,NILE
شكو ماكو؟,IRAQ,MSA
ما يمكنش الواحد ينسى عائلتو و صحابو، خاصنا نتواصلو معاهم ديما ونزوروهم,,NA
ما كان يجب أن يكون كثيراً هكذا .,MSA,MSA
الملابس الطويلة هي الموضة الآن .,MSA,NILE
عايز أمشي الدكان .,NILE,MSA
وين رايح بهذا الوقت؟ الدنيا ليل والدرب موحش، خليك شوية نفرتح لنا كاسة شاهي,YEM,NILE
وين با نروح اليوم العصر؟ الجو حلو برا وبا نتمشى شوية أو نجلس في مكان حلو.,YEM,NILE
أقول لا تسولف وياي,GULF,MSA
 أنا أريد أنزل للسوك اليوم أشتري بعض الأغراض للبيت، محتاجين هواي شغلات.,IRAQ,MSA
من فضلك غادر الفندق قبل التاسعة .,MSA,MSA
يا ولدي، علاش ما جاوبتيش على التيليفون؟,,LEV
دير بالك، السقف قصير.,LEV,NILE
يا الدراري، فين ممكن نلقى شي حانوت كيبيع الماعن المستعمل نقي؟,,IRAQ
بمجرد النظر إليها تبدو وكأنك قد التقطت بعض العدوى منها .,MSA,MSA
عايز الهدوم دي تتكوى.,NILE,NA
لا أريد شيئاً آخر .,MSA,MSA
ازيك عامل ايه النهارده؟,NILE,NA
اني حتى مشي ما جنت امشي,IRAQ,NILE
أبا مجبوس دياي عل الفطور,GULF,MSA
أنظر إلى جمالها الفاتن.,MSA,MSA
أنا بدي أتعلم أطبخ أكلات جديدة.,LEV,MSA
تعال نشرب لنا كاسة شاهي بالحليب ونسمر شوية.,YEM,NA
طوالي عليك الله .,NILE,NILE
لقد كانت المزارات في اليونان تاريخية .,MSA,MSA
ناس قليلين اللي هايكونوا في الجولة الاختيارية.,NILE,GULF
أنا كنت عم فكر أروح رحلة قصيرة آخر الأسبوع الجاي، بس لهلا ما قررت لوين بالزبط، يمكن نروح دبي أو الشارقة.,LEV,GULF
أنا اشتقت كتير لأهلي وقرايبي اللي ببلدي، بدي أزورهم قريب وأقضي معهم وقت طويل.,LEV,NA
ما هو الأفضل ؟,MSA,MSA
باش نسافر من اما مطار؟,,MSA
عمبتسأل سعر شو هيدا على فاتورتي .,LEV,NA
ممكن تساعديني في ترتيب الأغراض في الدولاب؟ أنا ما عندي وقت اليوم وبا أريد أخلص الشغل بسرعة.,YEM,MSA
ازاي أرجع؟,NILE,MSA
هاي الغرفة كولش صغيره.,IRAQ,MSA
على الساحل الشرقي، حتلاقي كمان أماكن مشهورة، زي نيويورك، وواشنطن دي سي وبوسطن.,NILE,MSA
